Unnamed: 0,Entity Name,ID Number,NAICS,Inactive status,Address,status,entity_name,Exact Names,Entity Types,Identification Numbers,Date of Incorporations,Effective Dates,Location of Principal Offices,Agent Resigned,Address Maintained,Name and Address of Registered Agents,"Officers, Directors, and Corporations",Name and Business Address of General Partners,LLC Managers,Stocks,Purposes,NIACS,Business Entities
0,"L & P Associates, LLC",86645, ,Revoked Entity,"113 GOVERNOR BRADFORD DRIVE BARRINGTON, RI  02806  USA",inactive,LP,"L & P Associates, LLC",Domestic Limited Liability Company,000086645,10-30-1995,10-30-1995,"113 GOVERNOR BRADFORD DRIVE ,BARRINGTON, RI 02806 USA",N,Y," CHRISTOPHER D. GRAHAM,EDWARDS & ANGELL 2700 HOSPITAL TRUST TOWER,PROVIDENCE, RI 02903 USA",None, ,The name and business address of each Manager: ,None, TITLE: 7-16,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
1,"L & P BARBER CARETAKING, L.L.C.",761709,999999,Revoked Entity,"TWO ELM STREET PO BOX 414WESTERLY, RI  02891  USA",inactive,LP,"L & P BARBER CARETAKING, L.L.C.",Domestic Limited Liability Company,000761709,01-09-2012,01-09-2012,"TWO ELM STREET PO BOX 414,WESTERLY, RI 02891 USA",N,Y," CHARLES SOLOVEITIZK,TWO ELM STREET ,WESTERLY, RI 02891 USA",None,"MANAGERLINDA G BARBER 3 ROCK RIDGE ROAD WESTERLY, RI 02891 USA","The limited liability company is to be managed by its ManagersThe name and business address of each Manager:MANAGERLINDA G BARBER 3 ROCK RIDGE ROAD WESTERLY, RI 02891 USA",None," TO OPERATE AND CONDUCT THE BUSINESS OF CARETAKING, MAINTENANCE AND PROPERTY MANAGEMENT, INCLUDING TO PURCHASE, OWN, LEASE AND SELL PERSONAL PROPERTY. ",None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
2,"L & P Casting, Inc.",16789, ,Revoked Entity," ,     USA",inactive,LP,"L & P Casting, Inc.",Domestic Profit Corporation,000016789,03-08-1983,03-08-1983," , USA",N,Y," PASQUALE ROTOLO,21 CONGRESS AVENUE ,PROVIDENCE, RI 00000 USA", ,None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTK $ 0.00001,0000", TITLE 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
3,"L & P Distributors, Inc.",35742, ,Revoked Entity," ,     USA",inactive,LP,"L & P Distributors, Inc.",Domestic Profit Corporation,000035742,09-04-1985,09-04-1985," , USA",N,Y," LAWRENCE A. HOWARD, JR.,844 MINERAL SPRING AVENUE ,PAWTUCKET, RI 02860 USA", ,None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNP $ 0.00004000, TITLE 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
4,L & P Group LLC,535776, ,Revoked Entity,"3 THOMAS LANE HOPE VALLEY, RI  02832  USA",inactive,LP,L & P Group LLC,Domestic Limited Liability Company,000535776,04-09-2010,04-10-2010,"3 THOMAS LANE ,HOPE VALLEY, RI 02832 USA",N,Y," ALEX LAVALLEE,3 THOMAS LANE ,HOPE VALLEY, RI 02832 USA",None, , ,None, TO OPERATE FITNESS GYMS. ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
5,"L & P PIZZA, INC.",89273, ,Revoked Entity," ,     USA",inactive,LP,"L & P PIZZA, INC.",Domestic Profit Corporation,000089273,04-24-1996,04-24-1996," , USA",Y,Y," , , ","DIRECTORLISA J BILIOURIS 32 GREENWOOD STREET NORTH SMITHFIELD, RI 00000 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.00001,0000", TO OPERATE A RESTAURANT BUSINESS FOR THE PURPOSE OF SELLINGFOOD AND BEVERAGES AT RETAIL. TITLE: 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
6,L and P Property Management LLC,507352, ,Revoked Entity,"94 CARRIAGE DRIVE LINCOLN, RI  02865  USA",inactive,LP,L and P Property Management LLC,Domestic Limited Liability Company,000507352,06-04-2009,07-01-2009,"94 CARRIAGE DRIVE ,LINCOLN, RI 02865 USA",N,Y," LUIGI CRISPINO,94 CARRIAGE DRIVE ,LINCOLN, RI 02865 USA",None, , ,None, ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
7,"L P ANESTHESIA, LLC",770361, ,Revoked Entity,"1 THOMPSON HILL DRIVE CUMBERLAND, RI  02864  USA",inactive,LP,"L P ANESTHESIA, LLC",Domestic Limited Liability Company,000770361,01-23-2012,01-23-2012,"1 THOMPSON HILL DRIVE ,CUMBERLAND, RI 02864 USA",N,Y," PTER N. WASYLYK,1307 CHALKSTONE AVENUE ,PROVIDENCE, RI 02908 USA",None, , ,None, INDEPENDENT CONTRACTOR ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
8,"L P T REALTY, INC.",151639, ,Revoked Entity,"176 EDDIE DOWLING HIGHWAY NORTH SMITHFIELD, RI  02896  USA",inactive,LP,"L P T REALTY, INC.",Domestic Profit Corporation,000151639,11-03-2005,11-03-2005,"176 EDDIE DOWLING HIGHWAY ,NORTH SMITHFIELD, RI 02896 USA",N,Y," ARAM P. JARRET, JR. ESQ.,176 EDDIE DOWLING HIGHWAY ,NORTH SMITHFIELD, RI 02896- USA","PRESIDENTLAURENT TESSIER 10 ANDREWS STREET BELLINGHAM, MA 02019- USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.01001000," BUYING, SELLING, LEASING, RENOVATING REAL ESTATE. TITLE: 7-1.2-1701 ",None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
9,L PAX,1728253, ,Name Reservation," ,     ",inactive,LP,L PAX,Domestic Profit Corporation,001728253,08-18-2021,08-18-2021," , ",N,N," ELLEN TEDESCHI-MORAN,132 DELLWOOD RD ,CRANSTON, RI 02920 USA", ,None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of shares , ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
10,L&P Hardscape LLC,1752872, ,Dissolved,"94 CHESTNUT HILL RD CHEPACHET, RI  02814  USA",inactive,LP,L&P Hardscape LLC,Domestic Limited Liability Company,001752872,02-16-2023,02-16-2023,"94 CHESTNUT HILL RD ,CHEPACHET, RI 02814 USA",N,Y," BRANDON LARAMEE,94 CHESTNUT HILL ROAD ,CHEPACHET, RI 02814 USA",None, , ,None, ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
11,"L&P Holdings, LLC",164085, ,Revoked Entity,"43 KING STREET EAST GREENWICH, RI  02818  USA",inactive,LP,"L&P Holdings, LLC",Domestic Limited Liability Company,000164085,05-22-2007,05-22-2007,"43 KING STREET ,EAST GREENWICH, RI 02818 USA",N,Y," VAN POTTS,43 KING STREET ,EAST GREENWICH, RI 02818 USA",None, , ,None, REAL ESTATE HOLDINGS TITLE: 7-16 ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
12,"L'PEARL SALON, INC.",136808,812112,Dissolved,"7592 POST ROAD NORTH KINGSTOWN, RI  02852  USA",inactive,LP,"L'PEARL SALON, INC.",Domestic Profit Corporation,000136808,12-30-2003,12-30-2003,"7592 POST ROAD ,NORTH KINGSTOWN, RI 02852 USA",N,Y," BEVERLY GRECO,7592 POST ROAD UNIT A ,NORTH KINGSTOWN, RI 02852 USA","PRESIDENTBEVERLY MANZI-GRECO 7592 POST ROAD UNIT A NORTH KINGSTOWN, RI 02852 USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesSTKÂ $ 0.0000100100, HAIR SALON AND PERSONAL CARE TITLE: 7-1.1-51 ,812112 Beauty Salons ,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
13,"L. & P. CONSTRUCTION CO., INC.",16793, ,Revoked Entity,"178 WALLACE ST PROVIDENCE, RI  02909  USA",inactive,LP,"L. & P. CONSTRUCTION CO., INC.",Domestic Profit Corporation,000016793,05-22-1973,05-22-1973,"178 WALLACE ST ,PROVIDENCE, RI 02909 USA",N,Y," PETER MARINUCCI,178 WALLACE ST. ,PROVIDENCE, RI 02909 USA","PRESIDENTPETER MARINUCCI 178 WALLACE ST PROVIDENCE, RI 02909 USA",None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.00006000, TITLE 7-1.1-51 GL 1956,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
14,"L. P. THOMPSON COMMUNICATIONS, INC.",10066, ,Revoked Entity," ,     USA",inactive,LP,"L. P. THOMPSON COMMUNICATIONS, INC.",Domestic Profit Corporation,000010066,01-11-1965,01-11-1965," , USA",N,Y," JAMES L. TAFT, JR.,PO BOX 8830, 21 GARDEN CITY DRIVE ,CRANSTON, RI 02920 USA", ,None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNP $ 0.00006000, ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
15,"L. Pacson Company, Inc.",486057, ,Dissolved,"12 OFFSHORE ROAD NARRAGANSETT, RI  02882  USA",inactive,LP,"L. Pacson Company, Inc.",Domestic Profit Corporation,000486057,09-17-2008,09-17-2008,"12 OFFSHORE ROAD ,NARRAGANSETT, RI 02882 USA",N,Y," TERRENCE G. SIMPSON, ESQ.,28 CASWELL STREET ,NARRAGANSETT, RI 02882 USA","PRESIDENTPETER A. CONN SR.12 OFFSHORE ROAD NARRAGANSETT, RI 02882 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNPÂ $ 0.000010,000200", RETAIL INTERNET SALES Title: 7-1.2-1701,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
16,L. Perrigo Company,216270, ,Withdrawn,"515 EASTERN AVENUE ALLEGAN, MI  49010  USA",inactive,LP,L. Perrigo Company,Foreign Corporation,000216270,09-04-2007,09-04-2007,"515 EASTERN AVENUE ,ALLEGAN, MI 49010 USA",N,Y," CORPORATION SERVICE COMPANY,222 JEFFERSON BOULEVARD, SUITE 200 ,WARWICK, RI 02888 USA","PRESIDENTJOSEPH C. PAPA 515 EASTERN AVENUE ALLEGAN, MI 49010 USATREASURERRONALD L. WINOWIECKI 515 EASTERN AVENUE ALLEGAN, MI 49010 USASECRETARYTODD W. KINGMA 515 EASTERN AVENUE ALLEGAN, MI 49010 USAVICE PRESIDENTJUDY L. BROWN 515 EASTERN AVENUE ALLEGAN, MI 49010 USAVICE PRESIDENTSCOTT R RUSH 515 EASTERN AVENUE ALLEGAN, MI 49010 USAVICE PRESIDENTJOHN T HENDRICKSON 515 EASTERN AVE ALLEGAN, MI 49010 USAASSISTANT SECRETARYDAVID W. MASON 515 EASTERN AVE ALLEGAN, MI 49010 USADIRECTORJOSEPH C. PAPA 515 EASTERN AVENUE ALLEGAN, MI 49010 USADIRECTORJOHN T. HENDRICKSON 515 EASTERN AVENUE ALLEGAN, MI 49010 USADIRECTORJUDY L. BROWN 515 EASTERN AVENUE ALLEGAN, MI 49010 USA",None,None,"Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesPWP $ 10.000060,0000CWP $ 10.000050,0000", MANUFACTURER OF OVER-THE-COUNTER AND PHARMACEUTICAL PRODUCTS. ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Application for Amended Certificate of Authority,Application for Certificate of Authority,Application for Certificate of Withdrawal,Application For Registration of Corporate Name,Application for Transfer of Authority,Articles of Merger,Certificate of Correction,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Reinstatement,Renewal of Registration of Corporate Name,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office"
17,L. Pezza Construction Corp.,17883, ,Revoked Entity," ,     USA",inactive,LP,L. Pezza Construction Corp.,Domestic Profit Corporation,000017883,03-30-1978,03-30-1978," , USA",N,Y," HAIG BARSAMIAN,902 OLD COLONY BK. BLDG., ,PROV.,, RI 02903 USA", ,None,None,Class of Stock Series Par value per share Total AuthorizedTotal issued and outstandingNo. of sharesNo. of sharesCNP $ 0.00006000, TITLE 7-1.1-51,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Dissolution,Articles of Dissolution by Incorporators,Articles of Incorporation,Articles of Merger,Certificate of Conversion,Certificate of Correction,Certificate of Vote(s) Authorizing Issuance of a Class or Series of any Class of Shares,Fictitious Business Name Statement,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Incorporation,Restoration Statement of Transparency and Sustainability Standards,Revocation of Voluntary Dissolution Proceedings By Written Consent of the Shareholders,Statement of Abandonment of Use of Fictitious Business Name,Statement of Cancellation of Reacquired Shares,Statement of Cancellation of Redeemable Shares,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Revocation of Voluntary Dissolution Proceedings By Act of the Corporation,Statement of Transparency and Sustainability Standards"
18,"L. Potter, LLC",128796, ,Revoked Entity,"780 WHALEY HOLLOW ROAD COVENTRY, RI  02816  USA",inactive,LP,"L. Potter, LLC",Domestic Limited Liability Company,000128796,12-19-2002,12-19-2002,"780 WHALEY HOLLOW ROAD ,COVENTRY, RI 02816 USA",N,Y," DIANE POTTER,780 WHALEY HOLLOW ROAD ,COVENTRY, RI 02816- USA",None, , ,None, HOME DELIVERY OF HEATING OIL TITLE: 7-16 ,None,"ALL FILINGS,Annual Report,Annual Report - Amended,Annual Report - Reinstatement,Annual Reports - Prior to 2006,Articles of Amendment,Articles of Consolidation,Articles of Dissolution,Articles of Merger,Articles of Organization,Certificate of Conversion,Certificate of Correction,Fictitious Business Name Statement,L3C Articles of Organization,Merge out of Existence,Miscellaneous Filing (Fee Applicable),Miscellaneous Filing (No Fee),Notice of Transfer of Reserved Name of,Reinstatement,Renewal Statement of Transparency and Sustainability Standards,Reservation of Entity Name,Restated Articles of Organization,Restoration Statement of Transparency and Sustainability Standards,Statement of Abandonment of Use of Fictitious Business Name,Statement of Change of Registered/Resident Agent ,Statement of Change of Registered/Resident Agent Office,Statement of Transparency and Sustainability Standards"
